SNo.,Flight Name,Flight No.,Source,Destination,Source Name,Destination Name,Start Time,End Time,Total Time,Stops,Price
53,INDIGO,"6E5006, 6E996",DEL,BLR,New Delhi,Bengaluru,20:10,01:45,5hr 35min,1 stop,6795
54,INDIGO,"6E5625, 6E5305",DEL,BLR,New Delhi,Bengaluru,20:30,02:05,5hr 35min,1 stop,6795
55,INDIGO,"6E864, 6E806",DEL,BLR,New Delhi,Bengaluru,15:40,21:20,5hr 40min,1 stop,6795
56,AIRASIA INDIA,"I5798, I51321",DEL,BLR,New Delhi,Bengaluru,12:40,18:20,5hr 40min,1 stop,6796
57,INDIGO,"6E5177, 6E253",DEL,BLR,New Delhi,Bengaluru,06:25,12:10,5hr 45min,1 stop,6795
58,SPICEJET,"SG8645, SG3234",DEL,BLR,New Delhi,Bengaluru,07:00,12:45,5hr 45min,1 stop,6795
59,INDIGO,"6E2334, 6E144",DEL,BLR,New Delhi,Bengaluru,10:00,15:45,5hr 45min,1 stop,6795
60,INDIGO,"6E2967, 6E6505",DEL,BLR,New Delhi,Bengaluru,17:15,23:00,5hr 45min,1 stop,6795
61,INDIGO,"6E2169, 6E7219",DEL,BLR,New Delhi,Bengaluru,17:15,23:10,5hr 55min,1 stop,7362
62,GO FIRST,"G8194, G8286",DEL,BLR,New Delhi,Bengaluru,07:55,14:55,7hr,1 stop,6801
63,AIRASIA INDIA,"I5783, I51983",DEL,BLR,New Delhi,Bengaluru,06:55,14:00,7hr 5min,1 stop,6796
64,GO FIRST,"G8392, G8325",DEL,BLR,New Delhi,Bengaluru,15:45,22:55,7hr 10min,1 stop,6801
65,AIRASIA INDIA,"I5744, I5820",DEL,BLR,New Delhi,Bengaluru,09:25,16:45,7hr 20min,1 stop,6796
66,SPICEJET,"SG2643, SG208",DEL,BLR,New Delhi,Bengaluru,06:00,13:35,7hr 35min,1 stop,6795
67,GO FIRST,"G8145, G8402",DEL,BLR,New Delhi,Bengaluru,08:45,16:30,7hr 45min,1 stop,6801
68,AIRASIA INDIA,"I5787, I51983",DEL,BLR,New Delhi,Bengaluru,06:10,14:00,7hr 50min,1 stop,6796
69,SPICEJET,"SG2770, SG584",DEL,BLR,New Delhi,Bengaluru,07:00,15:05,8hr 5min,1 stop,6795
70,AIRASIA INDIA,"I5314, I5942",DEL,BLR,New Delhi,Bengaluru,05:45,14:00,8hr 15min,1 stop,6796
71,AIRASIA INDIA,"I5710, I52393",DEL,BLR,New Delhi,Bengaluru,10:05,18:20,8hr 15min,1 stop,6796
72,AIRASIA INDIA,"I5757, I5974",DEL,BLR,New Delhi,Bengaluru,16:25,01:00,8hr 35min,1 stop,6796
73,INDIGO,"6E2275, 6E532",DEL,BLR,New Delhi,Bengaluru,06:15,11:35,5hr 20min,1 stop,9063
74,AIRASIA INDIA,"I5559, I5335",DEL,BLR,New Delhi,Bengaluru,15:40,00:25,8hr 45min,1 stop,6796
75,VISTARA,"UK993, UK853",DEL,BLR,New Delhi,Bengaluru,12:50,17:45,4hr 55min,1 stop,9525
76,SPICEJET,SG3723,GAU,PAT,Guwahati,Patna,06:45,08:25,1hr 40min,non-stop,4739
77,INDIGO,"6E394, 6E599",GAU,PAT,Guwahati,Patna,12:15,17:45,5hr 30min,1 stop,4789
78,INDIGO,"6E6058, 6E6277",GAU,PAT,Guwahati,Patna,11:30,17:10,5hr 40min,1 stop,4789
79,INDIGO,"6E2906, 6E2323",GAU,PAT,Guwahati,Patna,12:55,19:10,6hr 15min,1 stop,4789
80,INDIGO,"6E2329, 6E657",GAU,PAT,Guwahati,Patna,06:55,14:20,7hr 25min,1 stop,4789
81,INDIGO,"6E2614, 6E2323",GAU,PAT,Guwahati,Patna,11:10,19:10,8hr,1 stop,4789
82,INDIGO,"6E2329, 6E5066",GAU,PAT,Guwahati,Patna,06:55,15:55,9hr,1 stop,4789
83,INDIGO,"6E2329, 6E761",GAU,PAT,Guwahati,Patna,06:55,17:20,10hr 25min,1 stop,5389
84,INDIGO,"6E2329, 6E2323",GAU,PAT,Guwahati,Patna,06:55,19:10,12hr 15min,1 stop,4789
